Data input File
6
Xlocation 
Ylocation 
Zlocation 
Primary 
Secondary 
Decluster Weight 
 489540.00 3763260.00       0.50       0.00       0.00       0.00 
 489990.00 3763260.00       0.50      -0.32       0.00       0.00 
 492840.00 3763260.00       0.50       0.05       0.00       0.00 
 495240.00 3763410.00       0.50      -0.19       0.00       0.00 
 493740.00 3763560.00       0.50      -0.20       0.00       0.00 
 496590.00 3763560.00       0.50       0.13       0.00       0.00 
 498540.00 3763560.00       0.50       0.15       0.00       0.00 
 500790.00 3763560.00       0.50      -0.28       0.00       0.00 
 494940.00 3763710.00       0.50       0.12       0.00       0.00 
 499290.00 3763710.00       0.50      -0.02       0.00       0.00 
 491790.00 3763860.00       0.50      -0.02       0.00       0.00 
 493590.00 3763860.00       0.50       0.06       0.00       0.00 
 494640.00 3763860.00       0.50      -0.23       0.00       0.00 
 498990.00 3763860.00       0.50      -0.40       0.00       0.00 
 492090.00 3764010.00       0.50       0.13       0.00       0.00 
 492690.00 3764010.00       0.50      -0.04       0.00       0.00 
 494490.00 3764160.00       0.50      -0.07       0.00       0.00 
 494940.00 3764160.00       0.50       0.08       0.00       0.00 
 506790.00 3764310.00       0.50       0.27       0.00       0.00 
 479640.00 3764460.00       0.50       0.07       0.00       0.00 
 493590.00 3764460.00       0.50       0.13       0.00       0.00 
 482640.00 3764610.00       0.50       0.11       0.00       0.00 
 496140.00 3764610.00       0.50      -0.01       0.00       0.00 
 491940.00 3764760.00       0.50       0.08       0.00       0.00 
 503940.00 3764760.00       0.50      -0.10       0.00       0.00 
 492690.00 3764910.00       0.50       0.03       0.00       0.00 
 494040.00 3764910.00       0.50       0.21       0.00       0.00 
 484740.00 3765060.00       0.50       0.16       0.00       0.00 
 489990.00 3765060.00       0.50      -0.24       0.00       0.00 
 491040.00 3765060.00       0.50      -0.05       0.00       0.00 
 491790.00 3765060.00       0.50      -0.17       0.00       0.00 
 493290.00 3765060.00       0.50      -0.10       0.00       0.00 
 494340.00 3765060.00       0.50      -0.01       0.00       0.00 
 495840.00 3765060.00       0.50       0.14       0.00       0.00 
 504240.00 3765060.00       0.50       0.01       0.00       0.00 
 504540.00 3765210.00       0.50      -0.02       0.00       0.00 
 491340.00 3765360.00       0.50      -0.11       0.00       0.00 
 504990.00 3765360.00       0.50       0.15       0.00       0.00 
 490890.00 3765510.00       0.50      -0.40       0.00       0.00 
 492390.00 3765510.00       0.50       0.13       0.00       0.00 
 493590.00 3765510.00       0.50      -0.07       0.00       0.00 
 503040.00 3765510.00       0.50       0.20       0.00       0.00 
 480690.00 3765960.00       0.50       0.09       0.00       0.00 
 491940.00 3765960.00       0.50       0.05       0.00       0.00 
 492540.00 3765960.00       0.50      -0.23       0.00       0.00 
 503040.00 3765960.00       0.50      -0.33       0.00       0.00 
 478740.00 3766110.00       0.50      -0.27       0.00       0.00 
 479790.00 3766260.00       0.50       0.03       0.00       0.00 
 495390.00 3766260.00       0.50       0.14       0.00       0.00 
 496590.00 3766260.00       0.50       0.11       0.00       0.00 
 502590.00 3766260.00       0.50       0.09       0.00       0.00 
 507840.00 3766260.00       0.50       0.11       0.00       0.00 
 494790.00 3766560.00       0.50       0.03       0.00       0.00 
 495840.00 3766860.00       0.50       0.12       0.00       0.00 
 496740.00 3766860.00       0.50       0.21       0.00       0.00 
 500340.00 3766860.00       0.50       0.15       0.00       0.00 
 479040.00 3767010.00       0.50      -0.08       0.00       0.00 
 498090.00 3767010.00       0.50        nan       0.00       0.00 
 506190.00 3767010.00       0.50      -0.10       0.00       0.00 
 479340.00 3767160.00       0.50       0.18       0.00       0.00 
 495090.00 3767160.00       0.50       0.08       0.00       0.00 
 496440.00 3767160.00       0.50      -0.28       0.00       0.00 
 495840.00 3767310.00       0.50      -0.08       0.00       0.00 
 498240.00 3767310.00       0.50      -0.25       0.00       0.00 
